,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
0,1000001,Carrefour,4620100.0,519800.0,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,R
1,1000002,Carrefour,4621842.0,522767.0,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,R
2,1000004,TotalEnergies,4618800.0,524500.0,1000,20 Avenue du Maréchal Juin,Bourg-en-Bresse,R
3,1000007,E.Leclerc,4622100.0,524500.0,1000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,R
4,1000008,Carrefour,4619900.0,524100.0,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,R
5,1000009,Intermarché,4619600.0,522900.0,1000,56 Rue du Stand,Bourg-en-Bresse,R
6,1000012,TotalEnergies,4620100.0,520000.0,1000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,R
7,1000013,TotalEnergies Access,4619900.0,524400.0,1000,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse,R
8,1000016,TotalEnergies Access,4620516.06,522502.48,1000,1 bvd John Kennedy,Bourg en Bresse,R
9,1090001,Auchan,4609600.0,477500.0,1090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,R
11,1100002,Carrefour,4625000.0,564400.0,1100,Rue Brillat-Savarin,OYONNAX,R
12,1100004,Avia,4627200.0,566000.0,1100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,R
13,1100006,Intermarché,4626200.0,564800.0,1100,74 Rue Jules Michelet,Oyonnax,R
14,1100007,TotalEnergies,4625000.0,564100.0,1100,174 COURS DE VERDUN,OYONNAX,R
17,1110001,Carrefour,4597800.0,559900.0,1110,Rue Masonod,HAUTEVILLE-LOMPNES,R
18,1120004,Système U,4585300.0,505900.0,1120,Cours de la Portelle,MONTLUEL,R
19,1120005,Intermarché,4584700.0,504800.0,1120,Route de Thil,LA BOISSE,R
20,1120006,TotalEnergies,4584600.0,504100.0,1120,521 ROUTE NATIONALE,La Boisse,R
22,1120008,TotalEnergies,4584700.0,507400.0,1120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,A
23,1130002,Avia,4616700.0,569100.0,1130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,R
24,1130003,TotalEnergies Access,4615800.0,560400.0,1130,RTE DE LA CLUSE RN 84,NANTUA,R
25,1140001,Système U,4618000.0,481700.0,1140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,R
26,1150001,Carrefour,4590200.0,534600.0,1150,8 RUE DE L'INDUSTRIE,LAGNIEU,R
27,1150002,TotalEnergies,4583900.0,527800.0,1150,Avenue Charles de Gaulle,SAINT-VULBAS,R
28,1160002,Système U,4604000.0,534200.0,1160,Le Pont Rompu - RD 1084,PONT-D'AIN,R
29,1160003,Intermarché,4607400.0,537600.0,1160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,R
30,1160005,TotalEnergies Access,4605335.06156,533741.036717,1160,RTE DE BOURG RN 75,Pont-d'Ain,R
31,1170001,Carrefour,4629300.0,607900.0,1170,RN5,SéGNY,R
32,1170002,Carrefour,4632200.0,605300.0,1170,Lieu-Dit les Vertes Campagnes,GEX,R
33,1170003,Intermarché,4633755.0,607534.0,1170,Route de Divonne les Bains,Gex,R
34,1170005,Avia,4633522.0,605800.0,1170, Avenue des Tilleuls,GEX,R
35,1190001,Avia,4644200.0,497000.0,1190,PAE Pont de Vaux Est,Saint-Bénigne,R
36,1200001,Carrefour,4610600.0,582300.0,1200,69 Rue de la République,Bellegarde-sur-Valserine,R
37,1200003,Carrefour,4612400.0,581200.0,1200,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,R
38,1210001,Carrefour,4625303.0,611817.0,1210,Chemin de la Brunette,FERNEY-VOLTAIRE,R
39,1210003,E.Leclerc,4624400.0,609500.0,1210,Route de Meyrin,FERNEY-VOLTAIRE,R
40,1220001,Carrefour,4634300.0,614100.0,1220,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,R
41,1230002,Avia,4594200.0,543200.0,1230,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,R
42,1230003,Elan,4592100.0,539400.0,1230,RD 1504,Torcieu,R
43,1250002,BP,4620500.0,529500.0,1250,AIRE DE BOURG TEYSSONGE A 40,Ceyzériat,A
44,1250004,Avia,4613408.0,528880.0,1250,route de la Vavrette,TOSSIAT,R
45,1250005,TotalEnergies,4620355.8237727,529588.28488323,1250,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,A
46,1250006,Système U,4617972.0878139,532494.62851004,1250,51 route de jasseron,Ceyzériat,R
47,1270003,TotalEnergies,4638200.0,534500.0,1270,82 GRANDE RUE,COLIGNY,R
48,1290001,Système U,4625500.0,489000.0,1290,254 Route de Chatillon Sur Chalaronne,LAIZ,R
49,1300001,Carrefour,4576000.0,568600.0,1300,ZAC DE L OUSSON,Belley,R
51,1300003,Intermarché,4577800.0,568900.0,1300,RN 504 - ZI de Penaye,Chazey-Bons,R
52,1310001,TotalEnergies,4625082.58935,511211.332738,1310,1123 Route de Mâcon,POLLIAT,R
53,1310003,Casino,4625600.0,505700.0,1310,Lieu-dit Logis-Neuf,Confrançon,R
55,1320001,TotalEnergies,4599100.0,516900.0,1320,259 ROUTE DE MEXIMIEUX,CHALAMONT,R
56,1320002,Casino,4599800.0,517700.0,1320,Lieu dit lePetit Étang,Chalamont,R
58,1330002,Système U,4600700.0,503500.0,1330,zac de la tuilerie,VILLARS-LES-DOMBES,R
59,1330003,TotalEnergies,4599900.0,489900.0,1330,245 ROUTE DU 3 SEPTEMBRE 1944,Amberieux-en-Dombes,R
60,1340002,TotalEnergies,4632300.0,513700.0,1340,1699 ROUTE DE BOURG,Malafretaz,R
61,1340003,Intermarché,4634600.0,512600.0,1340,Les Cézilles,Jayat,R
63,1340005,Carrefour,4633472.64,512600.21,1340,103 RUE DES LUYERS,Montrevel-en-Bresse,R
64,1350003,Intermarché,4584829.0858556,577006.40752309,1350,PARC D'ACTIVITE DES FOURS,Béon,R
65,1350004,Carrefour,4584733.2623162,578691.58896959,1350,450 AVENUE JEAN FALCONNIER,Culoz,R
66,1360002,Elan,4584900.0,512000.0,1360,316 Route de Lyon,BALAN,R
67,1370001,TotalEnergies,4628100.0,528900.0,1370,395 route de Bourg,SAINT-ÉTIENNE-DU-BOIS,R
68,1370003,Intermarché,4627000.0,529300.0,1370,40 Chemin de la Bergaderie,Saint-Étienne-du-Bois,R
70,1390001,Carrefour,4592700.0,495800.0,1390,70 Allées des Marronniers,Saint-André-de-Corcy,R
71,1390002,TotalEnergies,4592800.0,498800.0,1390,Z.I. DE SURE,Saint-André-de-Corcy,R
72,1390009,ENI,4588900.0,489400.0,1390,AIRE DE MIONNAY EST CHATANAYAUTOROUTE A 46,MIONNAY,A
73,1390010,Intermarché,4593200.0,495800.0,1390,ZI DE LA SURE,St André de Corcy,R
75,1400001,Carrefour,4611900.0,496100.0,1400,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,R
76,1400005,Intermarché,4611765.0,496036.0,1400,ROUTE DE MARLIEUX,Châtillon-sur-Chalaronne,R
79,1430003,ENI,4611809.562494,549110.62795291,1430,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,A
80,1430004,Avia,4612800.0,554000.0,1430,2 Rue de l'Égalité,Maillat,R
81,1430005,TotalEnergies,4612370.0,549956.0,1430,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,A
82,1440001,TotalEnergies,4623800.0,522800.0,1440,1029 ROUTE DE MARBOZ-LOUHANS,VIRIAT,R
83,1440002,TotalEnergies,4623600.0,526300.0,1440,531 Route de Strasbourg,VIRIAT,R
84,1440003,Avia,4621700.0,521300.0,1440,261 Route de Paris,Viriat,R
85,1460001,Carrefour,4617225.0,557729.0,1460,68 Rue du Jura,MONTREAL-LA-CLUSE,R
86,1460002,TotalEnergies,4618700.0,552600.0,1460,18 Route du Berthiand,Nurieux-Volognat,R
87,1460003,Intermarché,4616600.0,557100.0,1460,Rue de l'industrie,Port,R
88,1470002,Intermarché,4578776.0,545414.0,1470, Rue des Verchères,BRIORD,R
89,1480001,Carrefour,4598403.0,475694.0,1480, Rue Édouard Herriot,JASSANS-RIOTTIER,R
90,1480004,TotalEnergies,4604981.7093241,476551.06176786,1480,850 RD 933,Messimy-sur-Saône,R
91,1500001,Carrefour,4596243.9754254,535907.07856714,1500,Rue Alexandre Bérard,Ambérieu-en-Bugey,R
92,1500003,TotalEnergies,4597600.0,530900.0,1500,"550, Avenue Jean Mermoz",CHâTEAU-GAILLARD,R
93,1500004,Avia,4595700.0,533285.0,1500,15 Avenue de la Libération,AMBéRIEU-EN-BUGEY,R
94,1500006,Avia,4597592.0,530925.0,1500,"550, RUE JEAN MERMOZ",CHâTEAU-GAILLARD,R
95,1500007,Intermarché,4597200.0,533800.0,1500,CENTRE COMMERCIAL DE L'AVIATIONRAIS,Ambérieu-en-Bugey,R
96,1500008,TotalEnergies,4594000.0,537700.0,1500,"Avenue Jules Pellaudin, station service total",AMBERIEU-EN-BUGEY,R
97,1510003,Carrefour,4587300.0,569800.0,1510,"1 rue des champs ""les terrasses""",Artemare,R
98,1540001,Carrefour,4619800.0,499400.0,1540,184 rue du 19 mars 1962,VONNAS,R
99,1540003,Intermarché,4621300.0,499500.0,1540,zac les grand varays route de neuville,Vonnas,R
100,1560001,Intermarché,4645900.0,507500.0,1560,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,R
101,1570001,Intermarché,4632900.0,488500.0,1570,195 Grande Rue,FEILLENS,R
102,1590001,Avia,4632200.0,565600.0,1590,"18, Rue du 21 Juillet 1944",DORTAN,R
103,1590002,Intermarché,4632500.0,567200.0,1590,ZAC sous la Combe,LAVANCIA-EPERCY,R
104,1600001,Carrefour,4582800.0,497200.0,1700,Rue du Figuier,MIRIBEL,R
105,1600002,Carrefour,4593472.4745,479062.770497,1600,324 Route de Lyon,TREVOUX,R
106,1600003,Auchan,4590400.0,482000.0,1600,Avenue Lavoisier,MASSIEUX,R
107,1630001,Carrefour,4624200.0,602500.0,1630,RUE DE GENEVE -,SAINT-GENIS-POUILLY,R
108,1630003,Intermarché,4626326.0,602950.0,1630,148 Rue des Chalets,SAINT-GENIS-POUILLY,R
109,1630004,Intermarché,4618300.0,592900.0,1630,ZA DU PRE MUNNY,PéRON,R
111,1640001,Elan,4603500.0,539000.0,1640,573 route de Genève,Saint-Jean-le-Vieux,R
112,1640003,TotalEnergies,4603487.6030469,538945.26948339,1640,573 route de Geneve,Saint-Jean-le-Vieux,R
113,1700003,Esso,4587100.0,491200.0,1700,RN 83,Miribel,R
114,1700004,E.Leclerc,4582600.0,499900.0,1700,ZAC des Baterses,BEYNOST,A
116,1750001,Intermarché,4629900.0,488100.0,1750,223 route de Bourg-en-Bresse,Replonges,R
117,1800001,Carrefour,4590100.0,519100.0,1800,47 Route de Lyon,MEXIMIEUX,R
118,1800002,Elan,4582100.0,520000.0,1800,11 route de Port-Galland,Saint-Maurice-de-Gourdans,R
119,1800003,Intermarché,4591162.3208373,518971.44887676,1800,ROUTE DE CHALAMONT,Meximieux,R
120,1960001,Carrefour,4618200.0,521400.0,1960,Chemin de Bellevue,PERONNAS,R
121,1960005,Intermarché,4612800.0,516300.0,1960,50 RUE DES ACACIAS,SERVAS,R
122,1960006,ENI,4619100.0,521100.0,1960,148 AVENUE DE LYON,Péronnas,R
