,Date,id,Gazole,SP95,SP98,E10,E85,GPLc
2068281,2024-08-06,1000001,1.69,1.836,1.906,1.8,0.892,0.0
2068282,2024-08-06,1000002,1.665,1.829,1.883,0.0,0.0,0.0
2068283,2024-08-06,1000004,1.76,1.89,0.0,0.0,0.0,1.04
2068284,2024-08-06,1000007,1.658,1.829,1.878,1.768,0.0,0.0
2068285,2024-08-06,1000008,1.669,1.802,1.884,1.776,0.811,0.0
2068286,2024-08-06,1000009,1.665,1.829,1.883,1.775,0.798,0.0
2068287,2024-08-06,1000012,1.764,0.0,1.979,1.869,0.849,0.0
2068288,2024-08-06,1000013,1.659,0.0,1.879,1.769,0.0,0.0
2068289,2024-08-06,1000016,1.679,0.0,1.893,1.783,0.0,0.0
2068290,2024-08-06,1090001,1.688,0.0,1.874,1.815,0.0,0.0
2068291,2024-08-06,1100002,1.659,1.82,1.88,0.0,0.0,0.0
2068292,2024-08-06,1100004,1.65,1.81,1.86,0.0,0.0,0.0
2068293,2024-08-06,1100006,1.664,0.0,0.0,1.774,0.798,0.0
2068294,2024-08-06,1100007,1.754,0.0,1.959,1.849,0.849,0.999
2068295,2024-08-06,1100008,1.65,0.0,1.86,1.77,0.798,0.0
2068296,2024-08-06,1110001,1.723,0.0,1.919,1.838,0.0,0.0
2068297,2024-08-06,1120004,1.628,0.0,1.889,1.759,0.798,0.0
2068298,2024-08-06,1120005,1.628,0.0,1.849,1.749,0.798,0.0
2068299,2024-08-06,1120006,1.714,0.0,1.965,1.855,0.0,0.0
2068300,2024-08-06,1120007,1.902,0.0,2.217,2.077,0.0,0.0
2068301,2024-08-06,1120008,1.819,0.0,1.99,1.949,0.999,0.0
2068302,2024-08-06,1130002,1.65,1.81,1.86,0.0,0.0,0.0
2068303,2024-08-06,1130003,1.649,0.0,1.885,1.779,0.849,0.0
2068304,2024-08-06,1140001,1.639,0.0,0.0,1.769,0.789,0.0
2068305,2024-08-06,1150001,1.686,0.0,1.884,1.802,0.0,0.0
2068306,2024-08-06,1150002,1.754,0.0,1.969,1.859,0.849,0.0
2068307,2024-08-06,1160002,1.62,1.78,1.84,1.73,0.77,0.0
2068308,2024-08-06,1160003,1.617,0.0,1.836,1.727,0.798,0.0
2068309,2024-08-06,1160005,1.629,0.0,1.865,1.752,0.0,0.0
2068310,2024-08-06,1170001,1.658,1.814,1.889,1.768,0.792,0.0
2068311,2024-08-06,1170002,1.688,1.848,1.898,0.0,0.0,0.0
2068312,2024-08-06,1170003,1.679,0.0,1.888,1.772,0.798,0.0
2068313,2024-08-06,1170005,1.65,0.0,1.85,1.79,0.0,0.0
2068314,2024-08-06,1190001,1.689,1.839,1.869,0.0,0.0,0.0
2068315,2024-08-06,1200001,1.681,0.0,1.89,1.799,0.0,0.0
2068316,2024-08-06,1200003,1.639,1.829,0.0,1.759,0.0,0.0
2068317,2024-08-06,1210001,1.67,1.815,1.865,0.0,0.0,0.0
2068318,2024-08-06,1210003,1.658,1.814,0.0,1.768,0.791,0.0
2068319,2024-08-06,1220001,1.672,1.845,1.886,0.0,0.0,0.0
2068320,2024-08-06,1230002,1.72,1.86,1.93,0.0,0.0,0.0
2068321,2024-08-06,1230003,1.76,1.91,0.0,0.0,0.0,0.0
2068322,2024-08-06,1250002,1.904,0.0,2.134,2.014,1.004,1.144
2068323,2024-08-06,1250004,1.709,1.859,1.889,0.0,0.0,0.0
2068324,2024-08-06,1250005,1.859,0.0,1.99,1.99,0.999,1.064
2068325,2024-08-06,1250006,1.662,0.0,1.881,1.769,0.815,0.0
2068326,2024-08-06,1270003,1.849,0.0,1.989,0.0,0.0,0.0
2068327,2024-08-06,1290001,1.65,0.0,1.87,1.75,0.78,0.0
2068328,2024-08-06,1300001,1.675,1.839,1.895,0.0,0.0,0.0
2068329,2024-08-06,1300002,1.693,1.855,0.0,0.0,0.0,0.0
2068330,2024-08-06,1300003,1.639,0.0,1.845,1.749,0.0,0.0
2068331,2024-08-06,1310001,1.754,0.0,1.969,1.859,0.0,0.0
2068332,2024-08-06,1320001,1.87,1.99,0.0,0.0,0.0,0.0
2068333,2024-08-06,1320002,1.679,0.0,1.879,1.769,0.0,0.0
2068334,2024-08-06,1330002,1.629,0.0,1.869,1.749,0.799,0.0
2068335,2024-08-06,1330003,1.754,0.0,1.969,1.859,0.0,0.0
2068336,2024-08-06,1340002,1.764,0.0,1.969,1.859,0.0,0.0
2068337,2024-08-06,1340003,1.664,1.828,1.882,0.0,0.798,0.0
2068338,2024-08-06,1340004,1.809,1.953,1.992,0.0,1.038,0.0
2068339,2024-08-06,1340005,1.664,1.828,0.0,1.774,0.0,0.0
2068340,2024-08-06,1350003,1.649,0.0,1.845,1.753,0.0,0.0
2068341,2024-08-06,1350004,1.709,0.0,1.899,1.799,0.0,0.0
2068342,2024-08-06,1360002,1.896,1.969,1.99,0.0,0.0,0.0
2068343,2024-08-06,1370003,1.658,0.0,1.878,1.768,0.0,0.0
2068344,2024-08-06,1380001,1.669,1.839,0.0,1.769,0.0,0.0
2068345,2024-08-06,1390001,1.679,1.869,1.889,0.0,0.0,0.0
2068346,2024-08-06,1390002,1.744,0.0,1.964,1.854,0.0,0.0
2068347,2024-08-06,1390009,1.954,0.0,2.174,2.054,0.0,0.0
2068348,2024-08-06,1390010,1.689,0.0,1.899,1.799,0.798,0.0
2068349,2024-08-06,1390011,0.0,0.0,2.226,2.086,0.0,0.0
2068350,2024-08-06,1400001,1.637,1.799,1.856,0.0,0.0,0.0
2068351,2024-08-06,1400005,1.644,0.0,1.864,1.744,0.798,0.0
2068352,2024-08-06,1400006,1.644,1.804,0.0,1.744,0.0,0.0
2068353,2024-08-06,1430003,1.959,0.0,2.179,2.059,0.0,1.099
2068354,2024-08-06,1430004,1.771,1.932,0.0,1.898,0.0,0.0
2068355,2024-08-06,1430005,1.859,0.0,1.99,1.989,0.999,1.064
2068356,2024-08-06,1440001,1.754,1.909,0.0,0.0,0.0,0.0
2068357,2024-08-06,1440002,1.754,0.0,1.969,1.859,0.0,0.0
2068358,2024-08-06,1440003,1.709,1.859,1.889,0.0,0.0,0.0
2068359,2024-08-06,1460001,1.629,1.779,1.829,0.0,0.0,0.0
2068360,2024-08-06,1460002,1.804,1.941,0.0,0.0,0.0,0.0
2068361,2024-08-06,1460003,1.669,0.0,1.869,1.789,0.798,0.0
2068362,2024-08-06,1470002,1.649,0.0,1.859,1.769,0.0,0.0
2068363,2024-08-06,1480001,1.685,1.836,1.882,0.0,0.0,0.0
2068364,2024-08-06,1480004,1.754,0.0,1.969,1.859,0.0,0.0
2068365,2024-08-06,1500001,1.709,0.0,1.931,1.801,0.0,0.0
2068366,2024-08-06,1500003,1.819,1.959,0.0,0.0,0.0,0.0
2068367,2024-08-06,1500004,1.829,1.969,2.029,0.0,0.0,0.0
2068368,2024-08-06,1500006,1.819,1.959,0.0,0.0,0.0,0.0
2068369,2024-08-06,1500007,1.619,0.0,1.839,1.729,0.798,0.0
2068370,2024-08-06,1500008,1.76,0.0,1.95,0.0,0.0,0.0
2068371,2024-08-06,1510003,1.665,1.839,1.859,0.0,0.0,0.0
2068372,2024-08-06,1540001,1.659,0.0,1.888,1.769,0.0,0.0
2068373,2024-08-06,1540003,1.658,1.82,0.0,1.768,0.0,0.0
2068374,2024-08-06,1560001,1.665,1.832,1.883,0.0,0.0,0.0
2068375,2024-08-06,1570001,1.662,0.0,1.878,1.77,0.798,0.0
2068376,2024-08-06,1590001,1.74,1.859,1.909,0.0,0.0,0.0
2068377,2024-08-06,1590002,1.679,0.0,0.0,1.799,0.798,0.0
2068378,2024-08-06,1600001,1.685,1.835,1.889,1.8,0.798,0.0
2068379,2024-08-06,1600002,1.671,1.822,1.87,0.0,0.0,0.0
2068380,2024-08-06,1600003,1.638,0.0,1.836,1.751,0.0,0.0
2068381,2024-08-06,1630001,1.759,0.0,0.0,1.869,0.0,0.0
2068382,2024-08-06,1630003,1.658,0.0,1.859,1.768,0.798,0.0
2068383,2024-08-06,1630004,1.658,0.0,1.859,1.768,0.798,0.0
2068384,2024-08-06,1640003,1.849,1.979,0.0,0.0,0.0,0.0
2068385,2024-08-06,1700003,1.639,0.0,1.863,1.749,0.0,0.0
2068386,2024-08-06,1700004,1.628,1.809,1.889,1.76,0.798,1.019
2068387,2024-08-06,1710001,1.69,0.0,1.9,1.79,0.0,0.0
2068388,2024-08-06,1750001,1.661,1.894,0.0,1.768,0.0,0.0
2068389,2024-08-06,1800001,1.671,0.0,1.869,0.0,0.0,0.0
2068390,2024-08-06,1800002,1.9,1.98,0.0,0.0,0.0,0.0
2068391,2024-08-06,1800003,1.67,0.0,1.88,1.78,0.798,0.0
2068392,2024-08-06,1960001,1.68,1.834,1.897,0.0,0.0,0.0
